[2026-08-05T07:56:38.151Z] GET http://localhost:5173/src/components/HelpDialog.tsx?t=1785915248872 → 304 (3ms, ?B)
[2026-08-05T07:56:38.151Z] GET http://localhost:5173/src/components/MobileNav.tsx → 304 (3ms, ?B)
[2026-08-05T07:56:38.151Z] GET http://localhost:5173/src/hooks/useSocket.ts?t=1785861328377 → 304 (3ms, ?B)
[2026-08-05T07:56:38.155Z] GET http://localhost:5173/src/api/client.ts?t=1785915248872 → 304 (2ms, ?B)
[2026-08-05T07:56:38.155Z] GET http://localhost:5173/node_modules/.vite/deps/socket__io-client.js?v=4a9651df → 200 (?ms, -312B)
[2026-08-05T07:56:38.156Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -815B)
[2026-08-05T07:56:38.210Z] GET http://localhost:5173/src/pages/N0VA1OObserve.tsx?t=1785915814806 → 200 (44ms, 110728B)
[2026-08-05T07:56:38.247Z] GET http://localhost:5173/api/v1/notifications/unread-count → 200 (8ms, -618B)
[2026-08-05T07:56:38.248Z] GET http://localhost:5173/api/v1/mentions/unread-count → 200 (8ms, -618B)
[2026-08-05T07:56:38.248Z] GET http://localhost:5173/api/v1/ads-marketing-module/mail/unread-summary → 200 (10ms, -619B)
[2026-08-05T07:56:38.248Z] GET http://localhost:5173/api/v1/ads-marketing-module/mail/unread-summary → 200 (9ms, -619B)
[2026-08-05T07:56:38.248Z] GET http://localhost:5173/api/v1/campaigns → 200 (10ms, -620B)
[2026-08-05T07:56:38.248Z] GET http://localhost:5173/api/v1/creatives → 200 (31ms, ?B)
[2026-08-05T07:56:38.248Z] GET http://localhost:5173/api/v1/agents → 200 (31ms, -620B)
[2026-08-05T07:56:38.253Z] GET http://localhost:5173/api/v1/notifications/unread-count → 200 (1ms, 20B)
[2026-08-05T07:56:38.253Z] GET http://localhost:5173/api/v1/mentions/unread-count → 200 (2ms, 20B)
[2026-08-05T07:56:38.253Z] GET http://localhost:5173/api/v1/ads-marketing-module/mail/unread-summary → 200 (4ms, -619B)
[2026-08-05T07:56:38.253Z] GET http://localhost:5173/api/v1/ads-marketing-module/mail/unread-summary → 200 (4ms, 758B)
[2026-08-05T07:56:38.253Z] GET http://localhost:5173/api/v1/campaigns → 200 (4ms, 4133B)
[2026-08-05T07:56:38.253Z] GET http://localhost:5173/api/v1/creatives → 200 (7ms, 1536B)
[2026-08-05T07:56:38.253Z] GET http://localhost:5173/api/v1/agents → 200 (26ms, 2005B)
[2026-08-05T07:56:38.301Z] GET http://localhost:5173/api/v1/ads-marketing-module/n0va1o/observe/dashboard → 200 (8ms, -620B)
[2026-08-05T07:56:38.301Z] GET http://localhost:5173/api/v1/ads-marketing-module/n0va1o/observe/catalog → 200 (25ms, -620B)
[2026-08-05T07:56:38.301Z] GET http://localhost:5173/api/v1/ads-marketing-module/n0va1o/observe/dashboard → 200 (8ms, 2072B)
[2026-08-05T07:56:38.301Z] GET http://localhost:5173/api/v1/ads-marketing-module/n0va1o/observe/catalog → 200 (25ms, 1363B)
[2026-08-05T07:56:38.343Z] GET http://localhost:5173/api/v1/ads-marketing-module/n0va1o/observe/telemetry/stats → 200 (7ms, -619B)
[2026-08-05T07:56:38.343Z] GET http://localhost:5173/api/v1/ads-marketing-module/n0va1o/observe/telemetry/stats → 200 (7ms, 262B)
